Ma ck,gia,eps,pe,gt so sach,klgd10,kl niem yet,kl luu hanh,von hoa
HLE,3.8,1.31,2.89,11.31,,2200000.0,2200000.0,8.36
HLG,6.2,1.73,3.57,19.55,,44375385.0,44225385.0,274.2
HLR,6.0,1.54,3.89,12.21,,1650000.0,1650000.0,9.9
HLS,17.0,2.97,7.4,14.89,,8159921.0,8159963.0,138.72
HMC,14.9,0.75,19.86,17.89,27942.0,21000000.0,21000000.0,312.9
HMH,10.0,0.93,11.56,18.7,21571.0,13199847.0,12847647.0,138.75
HMS,22.0,5.57,4.04,46.45,139.0,8000000.0,8000000.0,180.0
HNB,14.3,1.31,10.9,11.11,,9500000.0,9500000.0,135.85
HND,18.5,3.03,6.2,13.05,119615.0,500000000.0,500000000.0,9400.0
HNE,8.4,0.69,12.21,11.54,1900.0,192600000.0,192600000.0,1617.84
HNF,21.4,0.9,23.69,15.41,1060.0,30000000.0,30000000.0,642.0
HNI,34.6,10.31,3.39,31.67,2240.0,11890000.0,9407900.0,328.34
HNP,18.9,2.77,6.81,25.81,404.0,5000000.0,5000000.0,94.5
HNT,2.3,0.51,4.53,10.84,,5500000.0,5500000.0,12.65
HOM,3.3,0.13,24.47,13.69,29747.0,74769131.0,71997731.0,230.39
HPB,16.8,2.52,6.14,28.68,50.0,3880000.0,3657200.0,56.69
HPD,17.8,1.7,10.46,12.48,4340.0,8306590.0,8306590.0,147.86
HPG,38.6,3.23,12.03,16.54,19870857.0,3313282659.0,3313282659.0,128555.37
HPH,3.5,0.36,9.84,11.94,420.0,8400000.0,8400000.0,29.4
HPI,23.9,3.5,6.79,2.11,3464.0,60000000.0,60000000.0,1428.0
HPP,35.5,10.27,3.79,43.24,2630.0,8007177.0,8007177.0,311.48
HPR,12.0,inf,,6.3,380.0,4800000.0,16838000.0,181.85
HPS,7.0,0.08,90.17,2.32,,1565250.0,3130500.0,21.91
HPT,9.8,2.25,5.03,14.3,4179.0,8272605.0,8117150.0,79.55
HPU,5.3,4.86,1.09,18.18,,2000000.0,2000000.0,10.6
HPW,14.7,1.18,12.41,13.19,1300.0,74206940.0,74206940.0,1090.84
